"","SID","age","Age_Category","Condition","Chance","Amount","response_self"
"1","YF003",11.98055556,"13-Dec","Baseline",50,50,"certain"
"2","YF003",11.98055556,"13-Dec","Baseline",25,30,"certain"
"3","YF003",11.98055556,"13-Dec","Baseline",25,100,"certain"
"4","YF003",11.98055556,"13-Dec","Baseline",75,30,"certain"
"5","YF003",11.98055556,"13-Dec","Baseline",75,100,"certain"
"6","YF003",11.98055556,"13-Dec","Baseline",10,10,"certain"
"7","YF003",11.98055556,"13-Dec","Baseline",50,40,"certain"
"8","YF003",11.98055556,"13-Dec","Baseline",90,100,"chance"
"9","YF003",11.98055556,"13-Dec","Baseline",25,20,"certain"
"10","YF003",11.98055556,"13-Dec","Baseline",75,50,"certain"
"11","YF003",11.98055556,"13-Dec","Baseline",10,5,"certain"
"12","YF003",11.98055556,"13-Dec","Baseline",50,30,"certain"
"13","YF003",11.98055556,"13-Dec","Baseline",90,5,"certain"
"14","YF003",11.98055556,"13-Dec","Baseline",90,30,"chance"
"15","YF003",11.98055556,"13-Dec","Baseline",90,50,"chance"
"16","YF003",11.98055556,"13-Dec","Baseline",25,10,"certain"
"17","YF003",11.98055556,"13-Dec","Baseline",75,5,"certain"
"18","YF003",11.98055556,"13-Dec","Baseline",75,40,"certain"
"19","YF003",11.98055556,"13-Dec","Baseline",10,100,"certain"
"20","YF003",11.98055556,"13-Dec","Baseline",50,10,"certain"
"21","YF003",11.98055556,"13-Dec","Baseline",50,20,"certain"
"22","YF003",11.98055556,"13-Dec","Baseline",90,10,"chance"
"23","YF003",11.98055556,"13-Dec","Baseline",90,20,"chance"
"24","YF003",11.98055556,"13-Dec","Baseline",25,5,"certain"
"25","YF003",11.98055556,"13-Dec","Baseline",25,50,"certain"
"26","YF003",11.98055556,"13-Dec","Baseline",75,20,"certain"
"27","YF003",11.98055556,"13-Dec","Baseline",10,40,"certain"
"28","YF003",11.98055556,"13-Dec","Baseline",90,40,"chance"
"29","YF003",11.98055556,"13-Dec","Baseline",50,5,"certain"
"30","YF003",11.98055556,"13-Dec","Baseline",10,50,"certain"
"31","YF003",11.98055556,"13-Dec","Baseline",25,40,"certain"
"32","YF003",11.98055556,"13-Dec","Baseline",10,20,"certain"
"33","YF003",11.98055556,"13-Dec","Baseline",10,30,"certain"
"34","YF003",11.98055556,"13-Dec","Baseline",75,10,"certain"
"35","YF003",11.98055556,"13-Dec","Baseline",50,100,"certain"
"36","YF004",12.20555556,"13-Dec","Baseline",75,100,"chance"
"37","YF004",12.20555556,"13-Dec","Baseline",90,30,"chance"
"38","YF004",12.20555556,"13-Dec","Baseline",90,10,"chance"
"39","YF004",12.20555556,"13-Dec","Baseline",90,20,"chance"
