"","SID","age","Age_Category","Condition","Chance","Amount","response_self"
"1","YF003",11.98055556,"13-Dec","FP",10,40,"certain"
"2","YF003",11.98055556,"13-Dec","FP",50,30,"certain"
"3","YF003",11.98055556,"13-Dec","FP",90,10,"chance"
"4","YF003",11.98055556,"13-Dec","FP",90,100,"chance"
"5","YF003",11.98055556,"13-Dec","FP",10,5,"certain"
"6","YF003",11.98055556,"13-Dec","FP",10,30,"certain"
"7","YF003",11.98055556,"13-Dec","FP",50,100,"certain"
"8","YF003",11.98055556,"13-Dec","FP",90,5,"chance"
"9","YF003",11.98055556,"13-Dec","FP",25,40,"certain"
"10","YF003",11.98055556,"13-Dec","FP",75,30,"chance"
"11","YF003",11.98055556,"13-Dec","FP",10,20,"certain"
"12","YF003",11.98055556,"13-Dec","FP",10,50,"certain"
"13","YF003",11.98055556,"13-Dec","FP",50,50,"certain"
"14","YF003",11.98055556,"13-Dec","FP",90,40,"chance"
"15","YF003",11.98055556,"13-Dec","FP",25,5,"certain"
"16","YF003",11.98055556,"13-Dec","FP",25,30,"certain"
"17","YF003",11.98055556,"13-Dec","FP",75,5,"chance"
"18","YF003",11.98055556,"13-Dec","FP",75,100,"chance"
"19","YF003",11.98055556,"13-Dec","FP",10,10,"certain"
"20","YF003",11.98055556,"13-Dec","FP",10,100,"certain"
"21","YF003",11.98055556,"13-Dec","FP",50,5,"certain"
"22","YF003",11.98055556,"13-Dec","FP",50,40,"certain"
"23","YF003",11.98055556,"13-Dec","FP",25,10,"certain"
"24","YF003",11.98055556,"13-Dec","FP",25,20,"certain"
"25","YF003",11.98055556,"13-Dec","FP",25,100,"certain"
"26","YF003",11.98055556,"13-Dec","FP",75,10,"chance"
"27","YF003",11.98055556,"13-Dec","FP",75,40,"chance"
"28","YF003",11.98055556,"13-Dec","FP",75,50,"chance"
"29","YF003",11.98055556,"13-Dec","FP",90,30,"chance"
"30","YF003",11.98055556,"13-Dec","FP",50,10,"certain"
"31","YF003",11.98055556,"13-Dec","FP",50,20,"certain"
"32","YF003",11.98055556,"13-Dec","FP",25,50,"certain"
"33","YF003",11.98055556,"13-Dec","FP",90,50,"chance"
"34","YF003",11.98055556,"13-Dec","FP",90,20,"chance"
"35","YF003",11.98055556,"13-Dec","FP",75,20,"chance"
"36","YF004",12.20555556,"13-Dec","FP",50,5,"certain"
"37","YF004",12.20555556,"13-Dec","FP",25,5,"certain"
"38","YF004",12.20555556,"13-Dec","FP",75,40,"chance"
"39","YF004",12.20555556,"13-Dec","FP",75,100,"chance"
"40","YF004",12.20555556,"13-Dec","FP",50,30,"chance"
"41","YF004",12.20555556,"13-Dec","FP",10,100,"chance"
