"","SID","Alpha","X","age","Age_Category","Condition","Chance","Amount","response_self"
"1","YF003",0.238995668398711,1,11.98055556,"13-Dec","DA",50,5,"chance"
"2","YF003",0.238995668398711,2,11.98055556,"13-Dec","DA",75,100,"chance"
"3","YF003",0.238995668398711,3,11.98055556,"13-Dec","DA",25,50,"certain"
"4","YF003",0.238995668398711,4,11.98055556,"13-Dec","DA",90,100,"certain"
"5","YF003",0.238995668398711,5,11.98055556,"13-Dec","DA",25,40,"chance"
"6","YF003",0.238995668398711,6,11.98055556,"13-Dec","DA",10,50,"certain"
"7","YF003",0.238995668398711,7,11.98055556,"13-Dec","DA",10,100,"chance"
"8","YF003",0.238995668398711,8,11.98055556,"13-Dec","DA",75,10,"certain"
"9","YF003",0.238995668398711,9,11.98055556,"13-Dec","DA",50,20,"chance"
"10","YF003",0.238995668398711,10,11.98055556,"13-Dec","DA",10,10,"chance"
"11","YF003",0.238995668398711,11,11.98055556,"13-Dec","DA",75,50,"certain"
"12","YF003",0.238995668398711,12,11.98055556,"13-Dec","DA",10,20,"chance"
"13","YF003",0.238995668398711,13,11.98055556,"13-Dec","DA",50,40,"chance"
"14","YF003",0.238995668398711,14,11.98055556,"13-Dec","DA",25,5,"certain"
"15","YF003",0.238995668398711,15,11.98055556,"13-Dec","DA",90,20,"certain"
"16","YF003",0.238995668398711,16,11.98055556,"13-Dec","DA",10,5,"chance"
"17","YF003",0.238995668398711,17,11.98055556,"13-Dec","DA",90,50,"certain"
"18","YF003",0.238995668398711,18,11.98055556,"13-Dec","DA",90,30,"chance"
"19","YF003",0.238995668398711,19,11.98055556,"13-Dec","DA",90,5,"certain"
"20","YF003",0.238995668398711,20,11.98055556,"13-Dec","DA",50,10,"chance"
"21","YF003",0.238995668398711,21,11.98055556,"13-Dec","DA",75,20,"certain"
"22","YF003",0.238995668398711,22,11.98055556,"13-Dec","DA",75,40,"certain"
"23","YF003",0.238995668398711,23,11.98055556,"13-Dec","DA",90,40,"certain"
"24","YF003",0.238995668398711,24,11.98055556,"13-Dec","DA",75,30,"certain"
"25","YF003",0.238995668398711,25,11.98055556,"13-Dec","DA",25,20,"chance"
"26","YF003",0.238995668398711,26,11.98055556,"13-Dec","DA",50,50,"chance"
"27","YF003",0.238995668398711,27,11.98055556,"13-Dec","DA",75,5,"certain"
"28","YF003",0.238995668398711,28,11.98055556,"13-Dec","DA",25,30,"chance"
"29","YF003",0.238995668398711,29,11.98055556,"13-Dec","DA",25,100,"chance"
"30","YF003",0.238995668398711,30,11.98055556,"13-Dec","DA",90,10,"certain"
"31","YF003",0.238995668398711,31,11.98055556,"13-Dec","DA",25,10,"chance"
"32","YF003",0.238995668398711,32,11.98055556,"13-Dec","DA",10,30,"chance"
"33","YF003",0.238995668398711,33,11.98055556,"13-Dec","DA",10,40,"certain"
"34","YF003",0.238995668398711,34,11.98055556,"13-Dec","DA",50,100,"chance"
"35","YF003",0.238995668398711,35,11.98055556,"13-Dec","DA",50,30,"certain"
"36","YF004",0.511106699036532,36,12.20555556,"13-Dec","DA",90,30,"chance"
"37","YF004",0.511106699036532,37,12.20555556,"13-Dec","DA",90,50,"chance"
"38","YF004",0.511106699036532,38,12.20555556,"13-Dec","DA",10,30,"certain"
"39","YF004",0.511106699036532,39,12.20555556,"13-Dec","DA",50,50,"certain"
"40","YF004",0.511106699036532,40,12.20555556,"13-Dec","DA",25,50,"certain"
"41","YF004",0.511106699036532,41,12.20555556,"13-Dec","DA",25,10,"chance"
"42","YF004",0.511106699036532,42,12.20555556,"13-Dec","DA",50,10,"chance"
"43","YF004",0.511106699036532,43,12.20555556,"13-Dec","DA",25,5,"certain"
"44","YF004",0.511106699036532,44,12.20555556,"13-Dec","DA",10,50,"chance"
"45","YF004",0.511106699036532,45,12.20555556,"13-Dec","DA",75,40,"chance"
"46","YF004",0.511106699036532,46,12.20555556,"13-Dec","DA",10,5,"certain"
"47","YF004",0.511106699036532,47,12.20555556,"13-Dec","DA",75,10,"certain"
"48","YF004",0.511106699036532,48,12.20555556,"13-Dec","DA",90,10,"chance"
"49","YF004",0.511106699036532,49,12.20555556,"13-Dec","DA",10,10,"chance"
"50","YF004",0.511106699036532,50,12.20555556,"13-Dec","DA",25,20,"chance"
"51","YF004",0.511106699036532,51,12.20555556,"13-Dec","DA",50,40,"chance"
"52","YF004",0.511106699036532,52,12.20555556,"13-Dec","DA",75,5,"certain"
"53","YF004",0.511106699036532,53,12.20555556,"13-Dec","DA",10,100,"chance"
"54","YF004",0.511106699036532,54,12.20555556,"13-Dec","DA",90,40,"chance"
"55","YF004",0.511106699036532,55,12.20555556,"13-Dec","DA",75,30,"certain"
"56","YF004",0.511106699036532,56,12.20555556,"13-Dec","DA",90,20,"certain"
"57","YF004",0.511106699036532,57,12.20555556,"13-Dec","DA",50,5,"certain"
"58","YF004",0.511106699036532,58,12.20555556,"13-Dec","DA",90,5,"certain"
"59","YF004",0.511106699036532,59,12.20555556,"13-Dec","DA",75,100,"certain"
"60","YF004",0.511106699036532,60,12.20555556,"13-Dec","DA",50,20,"chance"
"61","YF004",0.511106699036532,61,12.20555556,"13-Dec","DA",10,40,"chance"
"62","YF004",0.511106699036532,62,12.20555556,"13-Dec","DA",75,50,"certain"
"63","YF004",0.511106699036532,63,12.20555556,"13-Dec","DA",10,20,"chance"
"64","YF004",0.511106699036532,64,12.20555556,"13-Dec","DA",25,40,"chance"
"65","YF004",0.511106699036532,65,12.20555556,"13-Dec","DA",50,30,"chance"
"66","YF004",0.511106699036532,66,12.20555556,"13-Dec","DA",75,20,"certain"
"67","YF004",0.511106699036532,67,12.20555556,"13-Dec","DA",25,30,"certain"
"68","YF004",0.511106699036532,68,12.20555556,"13-Dec","DA",50,100,"chance"
"69","YF004",0.511106699036532,69,12.20555556,"13-Dec","DA",25,100,"certain"
"70","YF004",0.511106699036532,70,12.20555556,"13-Dec","DA",90,100,"certain"
"71","YF005",0.182199169508606,71,16.44166667,"14-17","DA",50,50,"chance"
"72","YF005",0.182199169508606,72,16.44166667,"14-17","DA",50,40,"chance"
"73","YF005",0.182199169508606,73,16.44166667,"14-17","DA",10,50,"certain"
"74","YF005",0.182199169508606,74,16.44166667,"14-17","DA",75,10,"chance"
"75","YF005",0.182199169508606,75,16.44166667,"14-17","DA",10,100,"chance"
"76","YF005",0.182199169508606,76,16.44166667,"14-17","DA",10,5,"certain"
"77","YF005",0.182199169508606,77,16.44166667,"14-17","DA",10,10,"chance"
"78","YF005",0.182199169508606,78,16.44166667,"14-17","DA",75,50,"chance"
"79","YF005",0.182199169508606,79,16.44166667,"14-17","DA",10,40,"certain"
"80","YF005",0.182199169508606,80,16.44166667,"14-17","DA",75,100,"chance"
"81","YF005",0.182199169508606,81,16.44166667,"14-17","DA",90,30,"chance"
"82","YF005",0.182199169508606,82,16.44166667,"14-17","DA",50,100,"certain"
