"","SID","Alpha","X","age","friend","friendSelectedResponse","viewing_status","collabtype","Chance","Amount","response_self"
"1","YF005",0.182199169508606,1,16.44166667,"YF006","certain","private","DesiredAntagonistic",50,10,"certain"
"2","YF005",0.182199169508606,2,16.44166667,"YF006","chance","private","DesiredAntagonistic",90,30,"chance"
"3","YF005",0.182199169508606,3,16.44166667,"YF006","certain","private","DesiredAntagonistic",10,20,"certain"
"4","YF005",0.182199169508606,4,16.44166667,"YF006","chance","private","DesiredAntagonistic",25,50,"chance"
"5","YF005",0.182199169508606,5,16.44166667,"YF006","certain","private","DesiredAntagonistic",10,10,"certain"
"6","YF005",0.182199169508606,6,16.44166667,"YF006","chance","private","DesiredAntagonistic",90,100,"chance"
"7","YF005",0.182199169508606,7,16.44166667,"YF006","certain","private","DesiredAntagonistic",25,20,"certain"
"8","YF005",0.182199169508606,8,16.44166667,"YF006","certain","private","DesiredAntagonistic",10,50,"certain"
"9","YF005",0.182199169508606,9,16.44166667,"YF006","chance","private","DesiredAntagonistic",75,10,"chance"
"10","YF005",0.182199169508606,10,16.44166667,"YF006","chance","private","DesiredAntagonistic",75,50,"chance"
"11","YF005",0.182199169508606,11,16.44166667,"YF006","chance","private","DesiredAntagonistic",50,50,"chance"
"12","YF005",0.182199169508606,12,16.44166667,"YF006","chance","private","DesiredAntagonistic",10,100,"chance"
"13","YF005",0.182199169508606,13,16.44166667,"YF006","certain","private","DesiredAntagonistic",75,5,"certain"
"14","YF005",0.182199169508606,14,16.44166667,"YF006","certain","private","DesiredAntagonistic",10,40,"certain"
"15","YF005",0.182199169508606,15,16.44166667,"YF006","chance","private","DesiredAntagonistic",75,100,"chance"
"16","YF005",0.182199169508606,16,16.44166667,"YF006","certain","private","DesiredAntagonistic",25,40,"certain"
"17","YF005",0.182199169508606,17,16.44166667,"YF006","certain","private","DesiredAntagonistic",25,30,"certain"
"18","YF005",0.182199169508606,18,16.44166667,"YF006","chance","private","DesiredAntagonistic",90,40,"chance"
"19","YF005",0.182199169508606,19,16.44166667,"YF006","chance","private","DesiredAntagonistic",90,10,"chance"
"20","YF005",0.182199169508606,20,16.44166667,"YF006","chance","private","DesiredAntagonistic",75,40,"chance"
"21","YF005",0.182199169508606,21,16.44166667,"YF006","chance","private","DesiredAntagonistic",25,100,"chance"
"22","YF005",0.182199169508606,22,16.44166667,"YF006","certain","private","DesiredAntagonistic",25,10,"certain"
"23","YF005",0.182199169508606,23,16.44166667,"YF006","chance","private","DesiredAntagonistic",75,20,"chance"
"24","YF005",0.182199169508606,24,16.44166667,"YF006","chance","private","DesiredAntagonistic",50,30,"chance"
"25","YF005",0.182199169508606,25,16.44166667,"YF006","certain","private","DesiredAntagonistic",10,30,"certain"
"26","YF005",0.182199169508606,26,16.44166667,"YF006","certain","private","DesiredAntagonistic",10,5,"certain"
"27","YF005",0.182199169508606,27,16.44166667,"YF006","chance","private","DesiredAntagonistic",50,20,"chance"
"28","YF005",0.182199169508606,28,16.44166667,"YF006","certain","private","DesiredAntagonistic",25,5,"certain"
"29","YF005",0.182199169508606,29,16.44166667,"YF006","chance","private","DesiredAntagonistic",50,100,"chance"
"30","YF005",0.182199169508606,30,16.44166667,"YF006","chance","private","DesiredAntagonistic",90,20,"chance"
"31","YF005",0.182199169508606,31,16.44166667,"YF006","certain","private","DesiredAntagonistic",50,5,"certain"
"32","YF005",0.182199169508606,32,16.44166667,"YF006","chance","private","DesiredAntagonistic",50,40,"chance"
"33","YF005",0.182199169508606,33,16.44166667,"YF006","chance","private","DesiredAntagonistic",90,50,"chance"
"34","YF005",0.182199169508606,34,16.44166667,"YF006","chance","private","DesiredAntagonistic",75,30,"chance"
"35","YF005",0.182199169508606,35,16.44166667,"YF006","certain","private","DesiredAntagonistic",90,5,"certain"
"36","YF006",1.29001897332982,36,16.34444444,"YF005","chance","private","DesiredAntagonistic",75,5,"certain"
"37","YF006",1.29001897332982,37,16.34444444,"YF005","certain","private","DesiredAntagonistic",75,10,"chance"
"38","YF006",1.29001897332982,38,16.34444444,"YF005","certain","private","DesiredAntagonistic",75,50,"chance"
"39","YF006",1.29001897332982,39,16.34444444,"YF005","certain","private","DesiredAntagonistic",10,100,"chance"
"40","YF006",1.29001897332982,40,16.34444444,"YF005","chance","private","DesiredAntagonistic",10,50,"certain"
"41","YF006",1.29001897332982,41,16.34444444,"YF005","certain","private","DesiredAntagonistic",50,50,"chance"
"42","YF006",1.29001897332982,42,16.34444444,"YF005","chance","private","DesiredAntagonistic",10,40,"certain"
"43","YF006",1.29001897332982,43,16.34444444,"YF005","chance","private","DesiredAntagonistic",10,5,"certain"
"44","YF006",1.29001897332982,44,16.34444444,"YF005","certain","private","DesiredAntagonistic",25,10,"certain"
"45","YF006",1.29001897332982,45,16.34444444,"YF005","certain","private","DesiredAntagonistic",50,30,"chance"
"46","YF006",1.29001897332982,46,16.34444444,"YF005","chance","private","DesiredAntagonistic",10,30,"certain"
"47","YF006",1.29001897332982,47,16.34444444,"YF005","certain","private","DesiredAntagonistic",50,20,"chance"
"48","YF006",1.29001897332982,48,16.34444444,"YF005","certain","private","DesiredAntagonistic",25,5,"certain"
"49","YF006",1.29001897332982,49,16.34444444,"YF005","certain","private","DesiredAntagonistic",75,20,"chance"
"50","YF006",1.29001897332982,50,16.34444444,"YF005","certain","private","DesiredAntagonistic",50,40,"chance"
"51","YF006",1.29001897332982,51,16.34444444,"YF005","chance","private","DesiredAntagonistic",50,100,"chance"
"52","YF006",1.29001897332982,52,16.34444444,"YF005","chance","private","DesiredAntagonistic",50,5,"certain"
"53","YF006",1.29001897332982,53,16.34444444,"YF005","certain","private","DesiredAntagonistic",90,20,"chance"
"54","YF006",1.29001897332982,54,16.34444444,"YF005","certain","private","DesiredAntagonistic",90,50,"chance"
"55","YF006",1.29001897332982,55,16.34444444,"YF005","chance","private","DesiredAntagonistic",90,5,"certain"
